factor,factor_group,bucket,n,factor_min,factor_max,factor_median,target_mean,target_median
underwriter_prior_first_day_return_mean,承销商声誉,4,223,168.15160260588985,203.02672920432474,183.64067316026612,7.99242503729262,8.064483822613887
underwriter_prior_first_day_return_mean,承销商声誉,5,224,203.21210014206312,923.908236594804,235.26711040084817,8.159475610271357,8.193581310979111
underwriter_prior_break_rate,承销商声誉,1,224,0.0,0.0,0.0,7.3904143222116465,7.595164502879447
underwriter_prior_break_rate,承销商声誉,2,223,0.0,0.0,0.0,8.381425748324375,8.443848500197186
underwriter_prior_break_rate,承销商声誉,3,224,0.0,0.058823529411764705,0.0,8.07317826105032,8.058919742973051
underwriter_prior_break_rate,承销商声誉,4,223,0.058823529411764705,0.13636363636363635,0.1,8.071913873249091,8.046531553730423
underwriter_prior_break_rate,承销商声誉,5,224,0.13636363636363635,1.0,0.16295563252515258,8.13490748011963,8.096062395034554
sw_l1_prior_ipo_count,行业历史热度,1,247,0.0,9.0,3.0,6.722398760829332,7.637192439982922
sw_l1_prior_ipo_count,行业历史热度,2,247,9.0,29.0,18.0,7.923434111098341,7.921006174143442
sw_l1_prior_ipo_count,行业历史热度,3,247,30.0,61.0,44.0,8.180755117160718,8.216402724807985
sw_l1_prior_ipo_count,行业历史热度,4,247,61.0,106.0,82.0,8.078378804152761,8.08023493943345
sw_l1_prior_ipo_count,行业历史热度,5,247,107.0,212.0,142.0,8.089032114363437,8.069910437041079
sw_l1_prior_log_oversub_mean,行业历史热度,1,234,5.182807183504169,7.222459159441397,6.6912510978276885,7.316198441341913,7.557321636571777
sw_l1_prior_log_oversub_mean,行业历史热度,2,233,7.223962685633644,7.639206267167445,7.518703713930815,8.067961287651887,8.180185291352977
sw_l1_prior_log_oversub_mean,行业历史热度,3,234,7.639517348352851,7.782152848629558,7.712516846761063,8.031175339977175,8.044789098900562
sw_l1_prior_log_oversub_mean,行业历史热度,4,233,7.785226065446946,7.941818584761829,7.865234949893639,8.093914031743731,8.096573744162123
sw_l1_prior_log_oversub_mean,行业历史热度,5,234,7.943345133177144,8.632779558383826,8.103740458357633,8.422806777701622,8.288559690982257
sw_l1_prior_first_day_return_mean,行业历史热度,1,234,6.41871625674863,132.08635160389042,120.40577348000892,7.806576336856402,7.9985708530805155
sw_l1_prior_first_day_return_mean,行业历史热度,2,233,132.15184818969203,150.55638597678217,140.80724925403388,8.027331553556161,8.047486989934479
sw_l1_prior_first_day_return_mean,行业历史热度,3,234,150.56504503824493,172.75459538073895,161.04696947923324,7.950928134350398,8.009948235079694
sw_l1_prior_first_day_return_mean,行业历史热度,4,233,172.78806980698806,195.70099363282625,182.84260122855733,8.02670070218139,8.134263707856803
sw_l1_prior_first_day_return_mean,行业历史热度,5,234,195.78956517033583,1298.9780987220295,224.77272047264506,8.120058283678567,8.199283264356023
sw_l1_prior_break_rate,行业历史热度,1,234,0.0,0.0,0.0,7.2945133102808155,7.545356915402563
sw_l1_prior_break_rate,行业历史热度,2,233,0.0,0.0,0.0,8.341619314447831,8.423229814265925
sw_l1_prior_break_rate,行业历史热度,3,234,0.0,0.08403361344537816,0.041166501906510375,8.040881003403406,8.010499800619279
sw_l1_prior_break_rate,行业历史热度,4,233,0.08411214953271028,0.12280701754385964,0.10256410256410256,8.104063311436379,8.0925296674394
sw_l1_prior_break_rate,行业历史热度,5,234,0.12280701754385964,0.2857142857142857,0.1355990783410138,8.152191790585027,8.12481226301069
