board,listing_year,feature,n,mean_shap,mean_abs_shap
主板,2024.0,total_issue_shares_10k,23,-0.018298318513144302,0.03288346428843786
主板,2024.0,strategic_allocation_10k,23,-0.005507267588128491,0.02639193822064546
主板,2024.0,same_board_concurrent_ipo_count,23,0.024070511808133913,0.024070511808133913
主板,2024.0,market_return_ma20,23,0.003923710679962388,0.020713909467881902
主板,2024.0,comparable_pe_avg_ex_nonrecurring,23,0.011696482290137856,0.02029162065956123
主板,2024.0,concurrent_offline_issue_sum_10k,23,0.011756542527228502,0.017893977801716893
主板,2024.0,strategic_allocation_share_pct,23,0.0026382855583434034,0.01574225285362092
主板,2024.0,same_board_break_rate_ma10,23,0.00821629078493216,0.008465147014820415
主板,2024.0,industry_pe_at_ipo,23,0.002894038489889818,0.008301886691640031
主板,2024.0,concurrent_ipo_count,23,0.00386819625899911,0.007694128674447575
主板,2025.0,board,36,0.6670457982645817,0.6670457982645817
主板,2025.0,market_turnover_ma20,36,0.17616479906754856,0.17616479906754856
主板,2025.0,subscription_step_10k,36,0.11690583488893666,0.11690583488893666
主板,2025.0,offline_issue_before_share_pct,36,0.07780557306207621,0.11244318359893882
主板,2025.0,recent_ipo_first_day_return_ma20,36,0.0924441535121048,0.0924441535121048
主板,2025.0,offline_issue_before_clawback_10k,36,-0.02657716012865868,0.08439169154654312
主板,2025.0,subscription_upper_limit_10k,36,0.06357134808767395,0.08213280785400162
主板,2025.0,subscription_lower_limit_10k,36,0.035433873168725254,0.04981550108108744
主板,2025.0,online_issue_before_clawback_10k,36,-0.036945110168359115,0.04523478440868765
主板,2025.0,total_issue_shares_10k,36,-0.02678010075983816,0.04147993867760543
主板,2025.0,market_turnover_ma20_over_ma60,36,-0.0028778584009782563,0.03520541799362999
主板,2025.0,strategic_allocation_10k,36,-0.017378876458546487,0.02816384623104164
主板,2025.0,comparable_pe_avg_ex_nonrecurring,36,0.014851760242372121,0.02493631203644342
主板,2025.0,same_board_concurrent_ipo_count,36,0.021421736093031173,0.021421736093031173
主板,2025.0,market_turnover_pct_rank_1y,36,-0.01144338310793621,0.021166594597554565
主板,2025.0,strategic_allocation_share_pct,36,-0.0034002456222714775,0.020361029593592976
主板,2025.0,market_return_ma20,36,-0.0038224074617686987,0.018533703396500966
主板,2025.0,concurrent_offline_issue_sum_10k,36,0.008527322883076099,0.018521972080285273
主板,2025.0,concurrent_ipo_count,36,0.009724791309911008,0.01143251928231096
主板,2025.0,same_board_break_rate_ma10,36,0.00993969454903146,0.00993969454903146
主板,2025.0,industry_pe_at_ipo,36,0.0020546077137731412,0.009754709447565235
主板,2026.0,board,11,0.7552778792055868,0.7552778792055868
主板,2026.0,market_turnover_ma20,11,0.33332513013625814,0.33332513013625814
主板,2026.0,offline_issue_before_share_pct,11,0.11389772287194057,0.1206457856372296
主板,2026.0,subscription_step_10k,11,0.11711381102314888,0.11711381102314888
主板,2026.0,offline_issue_before_clawback_10k,11,-0.03047555409438092,0.09236227554493283
主板,2026.0,subscription_upper_limit_10k,11,0.07937917553313542,0.08636245456448642
主板,2026.0,recent_ipo_first_day_return_ma20,11,0.06713824376669401,0.06713824376669401
主板,2026.0,total_issue_shares_10k,11,-0.027352497490209585,0.04877087706152716
主板,2026.0,online_issue_before_clawback_10k,11,-0.03829807917668009,0.044902119436224304
主板,2026.0,subscription_lower_limit_10k,11,0.027919293623198827,0.04301732805154434
主板,2026.0,market_turnover_ma20_over_ma60,11,9.326061509463526e-05,0.026562278776094465
主板,2026.0,market_turnover_pct_rank_1y,11,0.01787442170081087,0.02580094271859599
主板,2026.0,comparable_pe_avg_ex_nonrecurring,11,0.025391272421422025,0.025391272421422025
主板,2026.0,same_board_concurrent_ipo_count,11,0.02398086892504793,0.02398086892504793
主板,2026.0,strategic_allocation_share_pct,11,-0.004040545802938466,0.020659009523437827
主板,2026.0,market_return_ma20,11,-0.0037402941328688166,0.018046628387318967
主板,2026.0,strategic_allocation_10k,11,-0.006348375834367243,0.01574338737750006
主板,2026.0,industry_pe_at_ipo,11,0.014881612682206901,0.01489951527936605
主板,2026.0,concurrent_offline_issue_sum_10k,11,0.0034057319099822154,0.014826502408775642
主板,2026.0,concurrent_ipo_count,11,0.013940961748974386,0.014298808848390866
主板,2026.0,same_board_break_rate_ma10,11,0.01313867979474253,0.01313867979474253
创业板,2020.0,subscription_step_10k,53,0.10472483319014832,0.10472483319014832
创业板,2020.0,market_turnover_ma20_over_ma60,53,-0.0818592224869146,0.08866125547056483
创业板,2020.0,recent_ipo_first_day_return_ma20,53,0.0881307247138865,0.08854330149441939
创业板,2020.0,concurrent_ipo_count,53,-0.06709805172543797,0.08652364728106647
创业板,2020.0,same_board_concurrent_ipo_count,53,-0.05098820237053649,0.07236725111524206
创业板,2020.0,subscription_lower_limit_10k,53,0.0016245578670328138,0.07067127870920532
