factor,factor_group,bucket,n,factor_min,factor_max,factor_median,mean_log_oversubscription,median_oversubscription,median_actual_lottery_rate_pct,median_predicted_lottery_rate_pct
offline_issue_before_share_pct,发行供给因子,Q1低,275,30.0,60.0,57.77160073221938,7.651719423892363,3925.6751,0.02547333,0.025088567562333578
offline_issue_before_share_pct,发行供给因子,Q2,219,60.00000000000001,65.03386783042394,63.193433088290675,7.996678756972646,3379.1785,0.02959299,0.029594712874628636
offline_issue_before_share_pct,发行供给因子,Q3,247,65.03701247762565,68.00024673081668,66.50176189157443,7.714564468045089,2686.7367,0.03721987,0.036951045882888604
offline_issue_before_share_pct,发行供给因子,Q4,247,68.00044,71.50033119894016,71.5,7.929053135750491,3225.3303,0.03100458,0.03186330613241658
offline_issue_before_share_pct,发行供给因子,Q5高,247,71.50033829499324,81.58640226628894,73.00049987503124,7.741087824669698,2858.7881,0.03497986,0.03544760988990902
strategic_allocation_share_pct,发行供给因子,Q1低,250,1.5444441453566622,5.0,4.465401353057029,7.551548937177183,2399.1834,0.041682155,0.04013955469147346
strategic_allocation_share_pct,发行供给因子,Q2,110,5.000000650861521,9.0,7.105942382747209,7.793345816694001,2696.1859,0.037089885,0.03672682738896822
strategic_allocation_share_pct,发行供给因子,Q3,180,9.003216666666667,13.816186794984187,10.316949183350996,7.924418629634299,3157.29365,0.03167586,0.03264103482588051
strategic_allocation_share_pct,发行供给因子,Q4,180,13.860581883623277,18.4991725,15.0,7.993720218002399,3802.44785,0.026298855000000003,0.025890862307931292
strategic_allocation_share_pct,发行供给因子,Q5高,180,18.596584444444446,50.0,20.0,7.523527900566636,2931.0507,0.034117505,0.035022618292752064
subscription_upper_limit_10k,申购规则因子,Q1低,278,1.2,600.0,500.0,7.548125082504421,2800.1616000000004,0.0357123,0.035023487920660804
subscription_upper_limit_10k,申购规则因子,Q2,228,610.0,800.0,700.0,7.817549035461411,3245.4629,0.030812270000000003,0.031535890871891306
subscription_upper_limit_10k,申购规则因子,Q3,262,810.0,1200.0,1000.0,8.072095635483214,3551.11575,0.02816022,0.028550780838539264
subscription_upper_limit_10k,申购规则因子,Q4,232,1210.0,1800.0,1500.0,7.978271350607195,3231.0808500000003,0.030949400000000002,0.03153821728668024
subscription_upper_limit_10k,申购规则因子,Q5高,235,1900.0,50000.0,3000.0,7.595275605614602,2630.8224,0.03801093,0.037924854797006545
industry_pe_at_ipo,估值因子,Q1低,235,5.39,25.93,20.68,8.091442921174606,3330.9126,0.0300218,0.030683612559236267
industry_pe_at_ipo,估值因子,Q2,235,25.96,31.82,28.97,7.950673045748851,3116.2557,0.03208979,0.03251017089102943
industry_pe_at_ipo,估值因子,Q3,234,31.83,37.96,35.02,7.895714374454248,3178.84425,0.031458785,0.03219877601203126
industry_pe_at_ipo,估值因子,Q4,235,37.99,47.33,42.05,7.965895565865566,3015.7198,0.03315958,0.03287575816371704
industry_pe_at_ipo,估值因子,Q5高,235,47.38,143.2,53.93,7.9596678501942435,3254.3706,0.03072791,0.031073884566281386
comparable_pe_avg_ex_nonrecurring,估值因子,Q1低,225,7.63,32.78,25.57,8.154593015138381,3468.5956,0.02883011,0.0293670362641143
comparable_pe_avg_ex_nonrecurring,估值因子,Q2,225,32.81,46.52,39.24,8.150795004329353,3544.8336,0.02821007,0.028936049626343753
comparable_pe_avg_ex_nonrecurring,估值因子,Q3,224,46.55,65.85,55.129999999999995,7.941174979023147,3172.12095,0.03152482,0.03162402207154013
comparable_pe_avg_ex_nonrecurring,估值因子,Q4,225,65.9,102.64,79.66,7.843692462042084,3068.944,0.0325845,0.033230322359139655
comparable_pe_avg_ex_nonrecurring,估值因子,Q5高,225,103.11,2526.29,155.57,7.832952763413917,2783.8478,0.0359215,0.03496500447444428
