factor,factor_group,scope,scope_value,n,spearman_ic,abs_ic,icir_by_year,status
total_issue_shares_10k,发行供给因子,period,2023 全面注册制切换,204,-0.07527469557924855,0.07527469557924855,,ok
subscription_upper_limit_10k,申购规则因子,period,2023 全面注册制切换,204,-0.07033655081688939,0.07033655081688939,,ok
market_turnover_ma20,市场流动性因子,period,2021-2022 扩容与破发阶段,557,0.0652852294282705,0.0652852294282705,,ok
market_turnover_pct_rank_1y,市场流动性因子,period,2023 全面注册制切换,204,-0.057557766391436144,0.057557766391436144,,ok
offline_issue_before_share_pct,发行供给因子,period,2021-2022 扩容与破发阶段,557,-0.05658748335743771,0.05658748335743771,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,period,2024-2026 当前阶段,178,0.05250290181492432,0.05250290181492432,,ok
strategic_allocation_share_pct,发行供给因子,period,2023 全面注册制切换,115,-0.05212392182938204,0.05212392182938204,,ok
market_return_ma20,市场情绪因子,period,2019-2020 注册制早期,296,-0.04806130079057016,0.04806130079057016,,ok
comparable_pe_avg_ex_nonrecurring,估值因子,period,2021-2022 扩容与破发阶段,516,-0.04711837837868745,0.04711837837868745,,ok
subscription_lower_limit_10k,申购规则因子,period,2024-2026 当前阶段,178,0.04613976621353905,0.04613976621353905,,ok
total_issue_shares_10k,发行供给因子,period,2019-2020 注册制早期,296,-0.043608761230896145,0.043608761230896145,,ok
offline_issue_before_clawback_10k,发行供给因子,period,2019-2020 注册制早期,296,-0.03700750894506372,0.03700750894506372,,ok
concurrent_ipo_count,IPO供给拥挤因子,period,2024-2026 当前阶段,178,0.02977674830225993,0.02977674830225993,,ok
strategic_allocation_share_pct,发行供给因子,period,2021-2022 扩容与破发阶段,407,0.027343660649764456,0.027343660649764456,,ok
market_turnover_ma20_over_ma60,市场流动性因子,period,2019-2020 注册制早期,296,-0.024515735954519186,0.024515735954519186,,ok
strategic_allocation_share_pct,发行供给因子,period,2024-2026 当前阶段,141,-0.02428311406146386,0.02428311406146386,,ok
market_turnover_ma20_over_ma60,市场流动性因子,period,2024-2026 当前阶段,178,-0.02160522560211233,0.02160522560211233,,ok
market_return_ma20,市场情绪因子,period,2024-2026 当前阶段,178,-0.014540730698974205,0.014540730698974205,,ok
comparable_pe_avg_ex_nonrecurring,估值因子,period,2019-2020 注册制早期,249,0.011211817180687575,0.011211817180687575,,ok
strategic_allocation_share_pct,发行供给因子,period,2019-2020 注册制早期,237,-0.009096019866182912,0.009096019866182912,,ok
market_turnover_pct_rank_1y,市场流动性因子,period,2024-2026 当前阶段,178,-0.008691363298687855,0.008691363298687855,,ok
