security_code,security_name,board,listing_year,period,log_offline_oversubscription,feature,shap,abs_shap
688523.SH,航天环宇,科创板,2023.0,2023 全面注册制切换,8.027827774650188,strategic_allocation_share_pct,0.019276421159695824,0.019276421159695824
688525.SH,佰维存储,科创板,2022.0,2021-2022 扩容与破发阶段,8.30080283585814,strategic_allocation_share_pct,0.07078552844180341,0.07078552844180341
688526.SH,科前生物,科创板,2020.0,2019-2020 注册制早期,7.853843270101598,strategic_allocation_share_pct,-0.02560320980418238,0.02560320980418238
688528.SH,秦川物联,科创板,2020.0,2019-2020 注册制早期,7.713005215132804,strategic_allocation_share_pct,0.029541717345116826,0.029541717345116826
688529.SH,豪森智能,科创板,2020.0,2019-2020 注册制早期,7.681736869121559,strategic_allocation_share_pct,0.04740869942581401,0.04740869942581401
688530.SH,欧莱新材,科创板,2024.0,2024-2026 当前阶段,8.223603758149316,strategic_allocation_share_pct,-0.0120722106850632,0.0120722106850632
688531.SH,日联科技,科创板,2023.0,2023 全面注册制切换,7.48041290832453,strategic_allocation_share_pct,-0.012298486245044876,0.012298486245044876
688533.SH,上声电子,科创板,2021.0,2021-2022 扩容与破发阶段,8.511385177509757,strategic_allocation_share_pct,0.054840206355864424,0.054840206355864424
688535.SH,华海诚科,科创板,2023.0,2023 全面注册制切换,8.357936699084203,strategic_allocation_share_pct,0.029473252850321787,0.029473252850321787
688536.SH,思瑞浦,科创板,2020.0,2019-2020 注册制早期,7.282687706116104,strategic_allocation_share_pct,-0.00694025195845777,0.00694025195845777
688538.SH,和辉光电-U,科创板,2021.0,2021-2022 扩容与破发阶段,7.321376964915469,strategic_allocation_share_pct,-0.006981790145856043,0.006981790145856043
688539.SH,高华科技,科创板,2023.0,2023 全面注册制切换,7.561308720823415,strategic_allocation_share_pct,-0.02393792781968928,0.02393792781968928
688543.SH,国科军工,科创板,2023.0,2023 全面注册制切换,7.983622106462912,strategic_allocation_share_pct,-0.07296054532291792,0.07296054532291792
688545.SH,兴福电子,科创板,2025.0,2024-2026 当前阶段,7.792628983984271,strategic_allocation_share_pct,-0.01016757215768494,0.01016757215768494
688548.SH,广钢气体,科创板,2023.0,2023 全面注册制切换,7.7121886138736135,strategic_allocation_share_pct,-0.02825513228927674,0.02825513228927674
688549.SH,中巨芯-U,科创板,2023.0,2023 全面注册制切换,7.859324888249953,strategic_allocation_share_pct,-0.017894274999491,0.017894274999491
688550.SH,瑞联新材,科创板,2020.0,2019-2020 注册制早期,7.593935395819106,strategic_allocation_share_pct,-0.1451041489924945,0.1451041489924945
688551.SH,科威尔,科创板,2020.0,2019-2020 注册制早期,8.007892704038266,strategic_allocation_share_pct,0.036189084696668865,0.036189084696668865
688552.SH,航天南湖,科创板,2023.0,2023 全面注册制切换,8.005979358973676,strategic_allocation_share_pct,-0.08582146488269182,0.08582146488269182
688553.SH,汇宇制药-W,科创板,2021.0,2021-2022 扩容与破发阶段,7.936964183343008,strategic_allocation_share_pct,-0.016725865811710868,0.016725865811710868
688556.SH,高测股份,科创板,2020.0,2019-2020 注册制早期,7.717383981930733,strategic_allocation_share_pct,0.027229972614498433,0.027229972614498433
688557.SH,兰剑智能,科创板,2020.0,2019-2020 注册制早期,8.313076697113468,strategic_allocation_share_pct,0.06490390336411164,0.06490390336411164
688558.SH,国盛智科,科创板,2020.0,2019-2020 注册制早期,7.146546090904421,strategic_allocation_share_pct,0.017886589555709525,0.017886589555709525
688559.SH,海目星,科创板,2020.0,2019-2020 注册制早期,7.869753065218609,strategic_allocation_share_pct,0.035066930910578914,0.035066930910578914
688560.SH,明冠新材,科创板,2020.0,2019-2020 注册制早期,8.24393601804843,strategic_allocation_share_pct,0.05790229363417108,0.05790229363417108
688561.SH,奇安信-U,科创板,2020.0,2019-2020 注册制早期,7.106110605135239,strategic_allocation_share_pct,-0.025442267096293915,0.025442267096293915
688562.SH,航天软件,科创板,2023.0,2023 全面注册制切换,8.20123769959761,strategic_allocation_share_pct,-0.05030099534180085,0.05030099534180085
688563.SH,航材股份,科创板,2023.0,2023 全面注册制切换,7.3345645054170285,strategic_allocation_share_pct,-0.029807047071020387,0.029807047071020387
688565.SH,力源科技,科创板,2021.0,2021-2022 扩容与破发阶段,8.404797005596413,strategic_allocation_share_pct,0.05739265618537608,0.05739265618537608
688566.SH,吉贝尔,科创板,2020.0,2019-2020 注册制早期,7.296075584646409,strategic_allocation_share_pct,0.020924384775630123,0.020924384775630123
688567.SH,孚能科技,科创板,2020.0,2019-2020 注册制早期,7.063540679068712,strategic_allocation_share_pct,-0.02399373491402725,0.02399373491402725
688568.SH,中科星图,科创板,2020.0,2019-2020 注册制早期,7.288016487148159,strategic_allocation_share_pct,-0.011638672760910225,0.011638672760910225
688569.SH,铁科轨道,科创板,2020.0,2019-2020 注册制早期,7.877399120367343,strategic_allocation_share_pct,-0.08823594298865295,0.08823594298865295
688570.SH,天玛智控,科创板,2023.0,2023 全面注册制切换,7.87364845456117,strategic_allocation_share_pct,-0.027961599832003938,0.027961599832003938
688571.SH,杭华股份,科创板,2020.0,2019-2020 注册制早期,8.338245935261233,strategic_allocation_share_pct,0.06752524441229223,0.06752524441229223
688573.SH,信宇人,科创板,2023.0,2023 全面注册制切换,8.101739260714107,strategic_allocation_share_pct,0.050902776314848415,0.050902776314848415
688575.SH,亚辉龙,科创板,2021.0,2021-2022 扩容与破发阶段,8.566499717486009,strategic_allocation_share_pct,0.07753086052398825,0.07753086052398825
688576.SH,西山科技,科创板,2023.0,2023 全面注册制切换,7.488767381602299,strategic_allocation_share_pct,-0.017826553564593006,0.017826553564593006
688577.SH,浙海德曼,科创板,2020.0,2019-2020 注册制早期,8.164113377247025,strategic_allocation_share_pct,0.0505918864125461,0.0505918864125461
688578.SH,艾力斯,科创板,2020.0,2019-2020 注册制早期,7.950177179240107,strategic_allocation_share_pct,-0.01690816351175411,0.01690816351175411
688579.SH,地纬智能,科创板,2020.0,2019-2020 注册制早期,7.58553716570383,strategic_allocation_share_pct,0.024947867809383583,0.024947867809383583
